	Hours	Accuracy	Precision	Recall	F-measure	AUC
0	0.0	0.796694214876	0.760957324106	0.868092105263	0.811001843884	0.879639196101
1	0.5	0.821818181818	0.827	0.816118421053	0.821523178808	0.897503223903
2	1.0	0.809090909091	0.846889952153	0.756907894737	0.79937467431	0.887950963892
3	1.5	0.775371900826	0.769823434992	0.788815789474	0.779203899269	0.871175850236
4	2.0	0.757520661157	0.828118481435	0.652960526316	0.730182085709	0.783058063035
5	2.5	0.821487603306	0.819426336375	0.826973684211	0.823182711198	0.897491038643
6	3.0	0.810247933884	0.817662860981	0.800986842105	0.809238949817	0.886366442997
7	3.5	0.739834710744	0.727922885572	0.770065789474	0.748401534527	0.817934352597
8	4.0	0.818842975207	0.817025440313	0.824013157895	0.82050442188	0.892276348575
9	5.0	0.705289256198	0.70176565008	0.719078947368	0.710316815597	0.8297660758
